"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"PROP1",0,0,0,0,0,0
"PRORSD1P",15,14,27,26,3,3
"PRORY",0,1,0,0,1,0
"PROS1",761,711,499,1176,260,432
"PROS2P",0,0,1,0,0,0
"PROSC",598,519,513,666,322,474
"PROSER1",217,234,248,331,148,142
"PROSER2",931,2333,1340,1271,493,789
"PROSER2-AS1",9,3,3,9,5,4
"PROSER3",165,202,156,167,94,68
"PROX1",0,3,0,10,0,3
"PROX1-AS1",2,1,0,0,0,0
"PROX2",0,0,0,0,0,0
"PROZ",1,0,1,0,0,0
"PRPF18",53,66,70,70,30,58
"PRPF19",1786,1894,1758,1682,770,964
"PRPF19P1",0,0,0,0,0,0
"PRPF3",437,604,501,720,401,395
"PRPF31",891,1150,857,958,486,426
"PRPF38A",365,630,432,875,439,522
"PRPF38AP1",0,0,0,0,0,0
"PRPF38AP2",0,0,0,0,0,0
"PRPF38B",367,431,360,662,350,376
"PRPF39",312,325,317,554,229,233
"PRPF4",444,493,429,511,300,297
"PRPF40A",958,1050,866,1105,610,746
"PRPF40B",547,494,548,637,439,339
"PRPF4B",694,733,705,1170,729,702
"PRPF6",2314,2961,2535,2322,1619,1492
"PRPF8",4934,6248,6662,5549,4303,3937
"PRPH",3,0,0,3,1,0
"PRPH2",49,112,96,119,113,114
"PRPS1",530,561,422,657,265,250
"PRPS1L1",0,0,0,0,0,0
"PRPS1P1",0,0,0,0,0,0
"PRPS1P2",0,0,0,0,0,0
"PRPS2",168,120,171,112,26,85
"PRPSAP1",1064,1349,1090,769,449,412
"PRPSAP2",359,508,428,508,254,347
"PRR11",14,18,12,20,10,8
"PRR12",441,620,565,585,468,383
"PRR13",1003,1142,955,922,295,390
"PRR13P1",0,0,0,0,0,0
"PRR13P2",1,0,0,0,0,0
"PRR13P3",0,0,0,0,0,0
"PRR13P4",0,0,0,0,0,0
"PRR13P5",1,2,0,5,0,0
"PRR13P7",0,0,0,0,0,0
"PRR14",268,285,277,413,230,152
"PRR14L",275,409,374,367,292,215
"PRR15",166,120,111,174,53,56
"PRR15L",4,2,0,0,1,13
"PRR16",41,58,17,207,117,123
"PRR18",2,0,2,0,0,0
"PRR19",17,37,34,25,14,26
"PRR20A",0,0,0,0,0,0
"PRR20B",0,0,0,0,0,0
"PRR20C",0,0,0,0,0,0
"PRR20D",0,0,0,0,0,0
"PRR20E",0,0,0,0,0,0
"PRR20FP",0,0,0,0,0,0
"PRR21",0,0,0,0,0,0
"PRR22",29,37,25,65,44,19
"PRR23A",0,0,0,0,0,0
"PRR23B",0,0,0,0,0,0
"PRR23C",0,0,3,0,0,0
"PRR23D1",0,0,0,0,0,0
"PRR23D2",0,0,0,0,0,0
"PRR25",0,0,0,0,0,0
"PRR26",0,1,0,0,0,0
"PRR27",0,0,1,0,1,0
"PRR29",14,22,15,2,4,5
"PRR29-AS1",0,1,1,0,0,0
"PRR3",197,236,199,288,132,126
"PRR30",0,0,0,0,0,0
"PRR31",2,0,1,0,1,0
"PRR32",0,0,0,0,0,0
"PRR33",2,0,0,3,0,0
"PRR34",22,23,19,28,4,4
"PRR34-AS1",31,38,44,75,50,34
"PRR35",0,0,1,0,0,0
"PRR36",173,273,305,67,77,36
"PRR4",4,8,5,1,4,6
"PRR5",159,272,102,165,79,88
"PRR5-ARHGAP8",2,0,0,0,0,0
"PRR5L",12,15,24,172,25,60
"PRR7",54,64,80,51,25,14
"PRR7-AS1",0,0,2,1,1,0
"PRR9",0,0,0,0,0,0
"PRRC1",711,656,606,780,437,546
"PRRC2A",3593,4621,4522,4544,2992,2645
"PRRC2B",3656,4957,6557,4650,3939,3432
"PRRC2C",1571,1667,1918,1568,1462,1282
"PRRC2CP1",0,0,0,0,0,0
"PRRG1",489,711,526,725,526,813
"PRRG2",44,64,73,41,40,26
"PRRG3",0,0,1,7,0,0
"PRRG4",43,55,51,13,6,8
"PRRT1",159,201,179,174,82,101
"PRRT2",65,53,94,60,42,33
"PRRT3",255,257,386,301,196,171
"PRRT3-AS1",6,3,1,3,2,4
"PRRT4",5,4,2,29,0,0
"PRRX1",2737,3117,2411,4873,2332,2740
"PRRX2",26,36,4,1,0,1
"PRRX2-AS1",0,0,0,0,0,0
"PRSS1",0,0,0,0,0,0
"PRSS12",8,1,5,252,4,34
"PRSS16",22,37,27,24,28,26
"PRSS2",0,0,0,3,0,0
"PRSS21",1,6,1,1,2,0
"PRSS22",8,3,3,4,0,0
"PRSS23",653,509,968,1480,177,488
"PRSS27",275,223,206,144,46,55
"PRSS29P",0,0,0,0,0,0
"PRSS3",14,0,1,0,0,0
"PRSS30P",11,5,14,22,5,4
"PRSS33",1,1,1,0,1,0
"PRSS35",2,0,0,21,3,2
"PRSS36",12,14,15,42,5,6
"PRSS37",0,0,0,0,0,0
"PRSS38",1,0,0,0,0,0
"PRSS3P1",0,0,0,0,0,0
"PRSS3P3",0,0,0,0,0,0
"PRSS3P4",0,0,0,0,0,0
"PRSS41",0,0,0,0,0,0
"PRSS42",0,4,2,0,4,0
"PRSS44",2,5,1,2,4,0
"PRSS45",47,67,20,27,7,8
"PRSS46",10,3,6,5,2,1
"PRSS48",0,0,0,0,0,0
"PRSS50",51,28,66,62,52,19
"PRSS51",2,4,10,0,0,0
"PRSS53",14,37,27,4,10,4
"PRSS54",0,0,0,0,0,0
"PRSS55",2,3,3,0,1,0
"PRSS56",0,2,0,0,0,0
"PRSS57",0,0,0,0,0,0
"PRSS58",0,0,0,0,0,0
"PRSS8",56,32,60,34,32,34
"PRTFDC1",126,88,126,154,99,130
"PRTG",9,27,16,16,10,26
"PRTN3",0,0,0,0,0,0
"PRUNE",393,474,457,470,227,301
"PRUNE2",1867,1889,2132,1296,2716,2165
"PRUNEP1",0,0,0,1,0,0
"PRX",405,406,485,486,388,434
"PRY",0,0,0,0,0,0
"PRY2",0,0,0,0,0,0
"PRYP1",0,0,0,0,0,0
"PRYP2",0,0,0,0,0,0
"PRYP3",0,0,0,0,0,0
"PRYP4",0,0,0,0,0,0
"PRYP5",0,0,0,0,0,0
"PRYP6",0,0,0,0,0,0
"PSAP",43161,42136,58517,55273,24460,30523
"PSAPL1",0,0,0,0,0,0
"PSAT1",104,72,125,205,34,153
"PSAT1P1",0,0,0,0,0,0
"PSAT1P2",0,0,0,0,0,0
"PSAT1P3",2,0,0,0,0,0
"PSAT1P4",0,0,0,0,0,0
"PSCA",14,2,3,10,8,9
"PSD",77,81,68,32,30,18
"PSD2",17,10,8,5,3,6
"PSD3",1308,1623,1150,1380,1183,1399
"PSD4",27,59,38,108,27,27
"PSEN1",840,735,799,944,479,632
"PSEN2",658,729,673,549,330,361
"PSENEN",294,456,323,411,176,202
"PSG1",0,0,0,0,0,0
"PSG10P",0,0,0,0,0,0
"PSG11",0,0,0,0,0,0
"PSG2",0,0,0,0,0,0
"PSG3",0,0,0,0,0,0
"PSG4",0,2,5,72,8,0
"PSG5",1,0,0,17,1,0
"PSG6",0,0,0,0,0,0
"PSG7",0,0,0,0,0,0
"PSG8",0,0,0,0,0,0
"PSG9",0,0,1,2,0,0
"PSIP1",1057,1106,1094,1763,795,1253
"PSKH1",1433,1475,1397,794,708,628
"PSKH2",0,0,0,0,0,0
"PSMA1",334,333,277,508,166,309
"PSMA2",93,103,76,139,60,120
"PSMA2P1",0,0,0,0,0,0
"PSMA2P2",0,0,0,0,0,0
"PSMA2P3",0,0,0,0,0,0
"PSMA3",783,943,749,939,439,636
"PSMA3-AS1",251,225,279,520,233,231
"PSMA3P",0,0,0,0,0,0
"PSMA4",957,1027,857,1316,591,880
"PSMA5",1235,1152,1089,1387,492,683
"PSMA6",76,73,67,61,63,36
"PSMA6P1",0,0,1,0,1,1
"PSMA6P2",0,0,1,0,0,0
"PSMA6P3",0,0,0,0,0,0
"PSMA6P4",0,0,0,0,0,0
"PSMA7",1743,1696,1548,1760,818,1022
"PSMA8",0,0,0,0,0,0
"PSMB1",2194,2058,1879,1791,883,1060
"PSMB10",126,245,132,131,51,56
"PSMB11",0,1,0,0,0,0
"PSMB2",1090,1111,912,1184,495,602
"PSMB3",1658,1678,1328,1459,657,769
"PSMB3P2",0,0,0,0,0,0
"PSMB4",3401,3415,3127,2791,1297,1539
"PSMB5",1467,1762,1437,1316,678,715
"PSMB6",1677,1809,1499,1621,732,848
"PSMB7",1286,1360,1238,1424,697,799
"PSMB7P1",0,0,0,0,0,0
"PSMB8",704,845,766,381,123,170
"PSMB8-AS1",50,95,57,52,8,10
"PSMB9",182,225,232,141,44,65
"PSMC1",813,694,720,979,455,481
"PSMC1P1",0,0,0,0,0,0
"PSMC1P10",0,0,0,0,0,0
"PSMC1P11",0,0,0,0,0,1
"PSMC1P12",0,0,0,0,0,0
"PSMC1P13",0,0,0,0,0,0
"PSMC1P2",0,0,0,0,0,0
"PSMC1P3",0,0,0,0,1,0
"PSMC1P4",0,1,0,0,0,0
"PSMC1P5",0,0,0,0,0,0
"PSMC1P6",0,0,0,0,0,0
"PSMC1P7",0,0,0,0,0,1
"PSMC1P8",0,1,1,0,0,4
"PSMC1P9",0,0,0,0,1,1
"PSMC2",1130,1262,1137,1443,716,948
"PSMC3",1636,2070,1586,2303,1165,1321
"PSMC3IP",47,67,50,68,32,26
"PSMC4",1414,1581,1184,1743,745,879
"PSMC5",2566,2847,2159,2450,1123,1337
"PSMC6",710,765,631,974,495,590
"PSMD1",1446,1579,1504,1675,896,1094
"PSMD10",512,491,437,645,290,453
"PSMD10P1",0,0,0,0,0,0
"PSMD10P2",0,1,0,0,0,1
"PSMD10P3",0,0,0,0,0,0
"PSMD11",811,745,775,934,552,553
"PSMD12",495,561,446,844,366,451
"PSMD12P",0,0,0,0,0,3
"PSMD13",1214,1254,1153,1301,700,789
"PSMD14",809,766,655,769,378,488
"PSMD2",4799,4060,4422,3252,1727,2076
"PSMD3",1888,1894,1827,1692,1050,972
"PSMD4",1214,1167,1126,1327,549,679
"PSMD4P1",1,0,0,0,0,0
"PSMD5",357,350,420,489,250,291
"PSMD5-AS1",74,185,213,247,133,53
"PSMD6",910,974,747,1218,642,718
"PSMD6-AS2",3,4,7,7,7,1
"PSMD7",986,1169,889,1211,517,741
"PSMD7P1",0,0,0,0,0,0
"PSMD8",2032,2252,1702,1812,863,898
"PSMD8P1",0,0,0,0,0,0
"PSMD9",140,178,118,147,72,64
"PSME1",2296,3121,2703,2552,1149,1447
"PSME2",1525,2240,1363,1841,792,914
"PSME2P2",0,1,0,0,0,0
"PSME3",1825,1780,1481,1749,903,1111
"PSME4",1031,1153,877,944,522,586
"PSMF1",1630,1854,1386,1653,738,760
"PSMG1",314,384,320,414,184,315
"PSMG2",500,505,411,603,216,345
"PSMG3",427,334,311,293,147,186
"PSMG3-AS1",311,336,433,192,84,165
"PSMG4",290,255,282,271,142,102
"PSORS1C1",36,35,115,50,8,4
"PSORS1C2",0,0,0,0,0,0
"PSORS1C3",0,0,0,0,0,0
"PSPC1",514,596,474,397,211,202
"PSPC1P1",0,0,0,0,0,0
"PSPC1P2",0,0,0,0,0,0
"PSPH",140,226,390,353,127,226
"PSPHP1",0,0,22,0,0,0
"PSPN",47,113,60,126,79,96
"PSRC1",69,81,71,71,32,47
"PSTK",67,44,68,60,56,36
"PSTPIP1",26,14,18,69,9,10
"PSTPIP2",222,382,241,173,245,147
"PTAFR",5,6,5,133,21,38
"PTAR1",658,678,660,964,1204,1188
"PTBP1",2969,3886,3028,3910,2102,2177
"PTBP1P",0,0,0,0,0,0
"PTBP2",88,89,99,104,72,69
"PTBP3",178,238,195,321,174,277
"PTCD1",80,82,70,85,56,50
"PTCD2",267,323,296,305,176,188
"PTCD2P1",0,0,0,0,0,0
"PTCD2P2",0,0,0,0,0,0
"PTCD3",581,685,689,1051,707,681
"PTCH1",296,610,370,364,325,279
"PTCH2",4,10,8,12,4,5
"PTCHD1",1,1,0,2,0,0
"PTCHD1-AS",0,0,0,0,0,0
"PTCHD2",8,4,10,0,0,0
"PTCHD3",0,0,0,0,0,0
"PTCHD3P1",0,0,0,0,0,0
"PTCHD3P2",0,0,0,0,0,0
"PTCHD3P3",0,0,0,0,0,0
"PTCHD4",8,8,7,63,7,19
"PTCRA",1,0,0,0,0,0
"PTCSC2",0,0,0,0,0,0
"PTCSC3",0,0,0,3,0,0
"PTDSS1",2089,2304,2517,1831,1272,1298
"PTDSS2",891,946,913,1004,575,518
"PTEN",476,461,510,814,342,541
"PTENP1",2,2,2,0,1,2
"PTENP1-AS",0,0,2,0,0,1
"PTER",179,185,218,224,95,157
"PTF1A",0,0,0,0,0,0
"PTGDR",0,1,0,0,0,0
"PTGDR2",1,1,0,0,0,0
"PTGDS",99481,185365,137935,136149,81596,61251
"PTGER1",3,3,2,7,0,0
"PTGER2",76,49,18,57,4,11
"PTGER3",1,0,8,2,1,0
"PTGER4",6,14,14,51,7,4
"PTGER4P2",0,0,0,0,0,0
"PTGER4P3",0,0,0,0,0,0
"PTGES",2558,2769,2060,396,145,122
"PTGES2",1137,1060,1258,881,635,510
"PTGES2-AS1",5,9,10,10,16,4
"PTGES3",1544,1575,1306,2000,924,1337
"PTGES3L",10,9,17,1,11,7
"PTGES3L-AARSD1",0,1,0,0,0,0
"PTGES3P1",18,18,11,6,1,3
"PTGES3P2",0,0,0,0,1,0
"PTGES3P3",0,0,1,0,1,0
"PTGES3P4",0,0,0,0,0,0
"PTGES3P5",0,0,0,0,0,0
"PTGFR",19,0,49,110,17,40
"PTGFRN",2020,2118,2647,1596,820,1245
"PTGIR",67,28,18,3,1,4
"PTGIS",1,2,35,49,13,22
"PTGR1",574,1566,1296,1068,567,653
"PTGR2",110,152,132,189,112,152
"PTGS1",3,3,3,68,10,21
"PTGS2",6090,10359,6549,1416,1335,647
"PTH",0,0,0,0,0,0
"PTH1R",18,71,14,16,6,8
"PTH2",0,0,0,0,0,0
"PTH2R",0,0,0,4,1,0
"PTHLH",10,7,10,29,2,0
"PTK2",891,957,807,1501,624,856
"PTK2B",522,543,510,434,349,309
"PTK6",29,22,31,23,10,5
"PTK7",2248,1740,2596,2999,953,1248
"PTMA",4095,6514,4458,6649,2157,3243
"PTMAP1",0,0,0,0,0,0
"PTMAP2",0,4,2,1,0,1
"PTMAP3",0,0,0,0,0,0
"PTMAP4",1,3,3,0,1,0
"PTMAP5",11,6,7,9,5,9
"PTMAP6",0,0,0,0,0,0
"PTMAP8",0,1,0,0,0,0
"PTMS",2137,3478,2288,3049,1170,1453
"PTN",11,2,3,41,1,3
"PTOV1",1452,1743,1472,2018,843,767
"PTOV1-AS1",30,55,37,41,23,30
"PTOV1-AS2",35,71,33,51,51,13
"PTP4A1",909,906,941,1211,319,657
"PTP4A1P1",0,0,0,0,0,0
"PTP4A1P2",0,0,0,0,0,0
"PTP4A1P3",0,0,0,0,0,0
"PTP4A1P4",0,0,0,0,0,0
"PTP4A1P5",0,0,0,0,0,0
"PTP4A1P6",0,0,0,0,0,0
"PTP4A1P7",0,0,0,0,0,0
"PTP4A2",1977,2444,1917,2732,743,1187
"PTP4A2P1",2,2,4,0,0,0
"PTP4A2P2",0,0,0,0,0,0
"PTP4A3",125,113,137,50,30,9
"PTPDC1",67,79,64,52,100,43
"PTPMT1",287,286,284,317,130,182
"PTPN1",980,1119,1101,1224,519,637
"PTPN11",1812,2493,1811,2240,1483,2070
"PTPN12",419,456,352,935,256,449
"PTPN13",1671,1906,2057,1679,2166,2097
"PTPN14",1069,1372,1565,2351,2287,2151
"PTPN18",629,756,769,902,386,450
"PTPN2",205,202,169,317,147,169
"PTPN20",29,80,66,46,42,101
"PTPN20CP",0,2,2,0,2,3
"PTPN21",477,531,475,964,523,871
"PTPN22",7,9,2,66,41,89
"PTPN23",985,1043,1261,759,669,403
"PTPN2P1",0,0,0,0,0,0
"PTPN2P2",1,0,0,0,0,0
"PTPN3",127,217,133,154,189,136
"PTPN4",205,215,174,243,220,313
"PTPN5",1,1,0,0,1,0
"PTPN6",210,269,298,664,211,193
"PTPN7",1,3,1,67,7,8
"PTPN9",736,849,664,929,375,449
"PTPRA",2713,2508,2881,1804,863,1001
"PTPRB",23,14,23,73,41,77
"PTPRC",2,2,1,362,34,100
"PTPRCAP",0,0,0,0,0,0
"PTPRD",0,0,0,0,0,0
"PTPRD-AS1",2,0,0,0,0,0
"PTPRD-AS2",0,0,0,0,1,0
"PTPRE",110,114,89,209,69,84
"PTPRF",4778,2452,8932,1049,670,593
"PTPRG",581,284,1322,572,30,119
"PTPRG-AS1",12,17,33,4,17,36
"PTPRH",2,2,0,0,0,2
"PTPRJ",224,256,309,913,288,510
"PTPRJ-AS1",0,0,0,0,0,0
"PTPRK",1009,1189,1416,981,747,772
"PTPRM",6370,8969,7309,6675,4589,4013
"PTPRN",8,5,11,6,1,1
"PTPRN2",528,727,598,774,350,507
"PTPRO",65,127,64,516,603,615
"PTPRQ",1,5,10,51,30,60
"PTPRR",43,51,48,48,44,220
"PTPRS",1947,2394,2629,861,915,759
"PTPRT",2,1,1,6,4,0
"PTPRU",4820,5544,6960,5334,2000,2207
"PTPRVP",7,7,6,11,32,9
"PTPRZ1",11,4,16,15,0,6
"PTRF",3560,5137,3874,6901,1832,2494
"PTRH1",187,184,154,186,99,76
"PTRH2",202,269,217,323,165,181
"PTRHD1",313,327,285,392,270,234
"PTS",263,204,183,412,142,175
"PTTG1",29,23,13,46,12,2
"PTTG1IP",8166,5174,9406,5922,1792,2590
"PTTG2",0,0,0,0,0,0
"PTTG3P",0,0,0,0,0,0
"PTTG4P",0,0,0,0,0,0
"PTX3",506,516,256,110,14,22
"PTX4",0,3,0,0,1,0
"PUDP",112,158,69,132,105,126
"PUDPP1",0,0,0,0,0,0
"PUDPP2",0,0,0,0,0,0
"PUDPP3",0,0,0,0,0,0
"PUF60",1499,1564,1397,1732,887,829
"PUM1",1258,1583,1565,1597,767,1071
"PUM2",922,1126,1138,1871,1158,1434
"PUM3",240,246,229,382,169,205
"PURA",720,895,689,839,699,891
"PURB",434,630,377,723,475,607
"PURG",36,44,40,130,56,73
"PUS1",153,178,136,253,132,116
"PUS10",72,58,79,67,48,59
"PUS3",176,182,148,162,98,107
"PUS7",91,208,109,178,65,91
"PUS7L",243,271,215,278,362,438
"PUSL1",264,245,271,185,117,92
"PVALB",284,163,234,228,256,501
"PVR",307,393,272,252,152,147
"PVRIG",0,0,2,0,1,0
"PVRIG2P",0,0,0,0,0,0
"PVRL1",116,76,92,219,97,99
"PVRL2",2529,2244,2964,2344,1735,1482
"PVRL3",330,394,412,592,355,512
"PVRL3-AS1",14,10,14,12,9,7
"PVRL4",16,2,1,4,0,5
"PVT1",75,114,152,147,85,96
"PVT1_1",0,0,0,0,0,0
"PVT1_3",0,0,0,0,0,0
"PWAR1",3,1,1,6,2,3
"PWAR5",27,14,26,25,48,36
"PWAR6",82,103,83,137,122,85
"PWP1",592,649,594,779,430,450
"PWP2",29,1,23,4,0,17
"PWRN1",7,7,5,14,2,3
"PWRN2",0,0,0,0,0,0
"PWRN3",1,0,1,0,0,0
"PWRN4",0,0,0,0,0,2
"PWWP2A",142,167,157,160,85,160
"PWWP2AP1",0,0,0,0,0,0
"PWWP2B",314,246,220,176,103,70
"PXDC1",563,743,549,1197,325,467
"PXDN",117,43,586,1230,96,220
"PXDNL",5,52,29,52,0,0
"PXK",278,196,199,246,138,144
"PXMP2",28,40,33,85,36,32
"PXMP4",189,164,186,221,163,129
"PXN",2060,1854,2135,1451,646,659
"PXN-AS1",52,56,52,61,48,23
"PXT1",2,2,0,0,0,0
"PXYLP1",278,245,409,969,312,746
"PYCARD",20,21,19,160,10,29
"PYCARD-AS1",0,1,0,2,0,1
"PYCR1",570,372,460,238,138,162
"PYCR2",613,642,579,622,234,262
"PYCRL",283,229,237,142,157,121
"PYDC1",1,0,0,0,0,0
"PYDC2",0,0,0,0,0,0
"PYGB",1358,1345,1425,1336,676,686
"PYGL",664,1486,812,618,254,216
"PYGM",67,194,145,148,122,79
"PYGO1",120,141,125,229,93,184
"PYGO2",749,916,792,1209,664,609
"PYHIN1",3,1,5,6,1,1
"PYHIN5P",0,0,0,0,0,0
"PYM1",359,360,295,327,156,164
"PYROXD1",108,113,91,247,103,203
"PYROXD2",24,57,31,164,37,105
"PYURF",868,1013,868,1029,375,611
"PYY",1,4,1,0,1,0
"PYY2",3,1,4,15,4,0
"PYY3",0,0,0,0,0,0
"PZP",1,0,1,1,0,2
"Pinc",0,0,0,0,0,0
"QARS",4167,3555,4258,2968,2299,2088
"QDPR",664,599,634,1075,484,578
"QKI",1429,1803,1283,1833,920,1469
"QPCT",1021,761,1434,1573,1611,1489
"QPCTL",261,381,345,218,146,127
"QPRT",365,285,352,327,206,277
"QRFP",0,0,0,0,0,0
"QRFPR",1,0,0,1,4,4
"QRICH1",1014,979,1067,1244,655,592
"QRICH2",128,196,114,93,42,37
"QRSL1",303,232,229,371,189,213
"QRSL1P1",0,0,0,0,0,0
"QRSL1P2",0,0,0,0,0,0
"QRSL1P3",0,0,0,0,0,0
"QSER1",181,221,227,340,266,268
"QSOX1",4920,3430,5925,2332,1039,958
"QSOX2",473,822,624,401,316,330
"QTRT1",569,615,638,784,426,308
"QTRT1P1",0,0,0,0,0,0
"QTRTD1",204,246,197,335,169,225
"R3HCC1",669,558,575,561,307,353
"R3HCC1L",225,298,303,348,133,193
"R3HDM1",438,407,330,412,242,249
"R3HDM2",275,282,333,419,196,235
"R3HDM2P1",0,0,0,0,0,0
"R3HDM2P2",0,0,0,0,0,0
"R3HDM4",695,797,647,363,212,166
"R3HDML",0,0,0,2,0,0
"RAB10",763,804,827,1789,635,897
"RAB11A",1576,1529,1352,1569,721,1006
"RAB11AP1",0,0,0,0,0,0
"RAB11AP2",0,0,0,0,0,0
"RAB11B",1518,1908,1921,2343,1031,974
"RAB11B-AS1",75,107,110,86,73,66
"RAB11FIP1",6058,6419,5706,4528,2084,2623
"RAB11FIP1P1",0,0,0,0,0,0
"RAB11FIP2",646,920,600,1260,586,1148
"RAB11FIP3",2143,2232,2076,3068,787,1311
"RAB11FIP4",820,801,1595,920,877,769
"RAB11FIP5",1956,1911,2095,1122,617,632
"RAB12",461,584,391,364,179,145
"RAB13",2381,2854,2519,2359,1543,1533
"RAB14",1146,1145,1210,1923,962,1245
"RAB15",62,58,164,50,15,2
"RAB17",2240,4292,2886,2492,1724,1511
"RAB18",956,1025,864,1558,635,1069
"RAB19",1,2,4,14,0,4
"RAB1A",1427,1317,1287,1999,820,1171
"RAB1B",1975,2057,1904,1848,1020,1008
"RAB1C",0,2,0,0,0,0
"RAB20",475,366,456,309,174,152
"RAB21",658,748,625,766,397,616
"RAB22A",672,525,536,725,433,481
"RAB23",191,204,149,547,109,371
"RAB24",216,283,252,111,84,38
"RAB25",18,5,2,10,6,6
"RAB26",63,16,127,189,163,112
"RAB27A",278,360,208,169,70,119
"RAB27B",23,14,8,59,17,33
"RAB28",185,185,124,335,126,157
"RAB28P1",0,0,0,0,0,0
"RAB28P2",0,0,0,0,0,0
"RAB28P3",0,0,0,0,0,0
"RAB28P4",0,0,0,0,0,0
"RAB28P5",0,0,0,0,0,0
"RAB29",651,587,770,532,253,479
"RAB2A",1112,1181,1070,1579,747,1184
"RAB2B",271,370,298,616,371,404
"RAB30",1020,1367,1326,775,559,981
"RAB30-AS1",56,61,64,84,34,45
"RAB31",2581,1180,1727,1162,683,741
"RAB32",254,211,261,347,61,95
"RAB33A",9,33,26,8,3,4
"RAB33B",160,183,160,319,118,233
"RAB34",2823,2858,2457,1836,860,885
"RAB35",521,581,474,641,349,287
"RAB36",333,397,408,278,205,192
"RAB37",22,29,21,10,4,13
"RAB38",141,162,157,263,206,211
"RAB39A",1,2,0,38,1,5
"RAB39B",137,172,143,264,193,237
"RAB3A",73,160,99,93,116,80
"RAB3B",26,4,10,71,2,21
"RAB3C",4,12,0,0,1,1
"RAB3D",299,337,272,160,74,103
"RAB3GAP1",837,930,837,1095,769,753
"RAB3GAP2",655,666,793,944,652,749
"RAB3IL1",1238,1621,1157,432,189,163
"RAB3IP",501,456,665,417,300,468
"RAB40A",2,5,1,0,3,0
"RAB40AL",1,1,1,0,2,0
"RAB40B",194,171,166,203,94,117
"RAB40C",212,239,222,201,151,109
"RAB41",0,1,0,0,0,0
"RAB42",80,69,102,72,30,27
"RAB42P1",0,0,0,0,0,0
"RAB43",44,48,38,26,30,21
"RAB43P1",0,0,0,0,0,0
"RAB44",1,0,1,0,0,1
"RAB4A",380,323,357,525,209,292
"RAB4B",230,259,210,270,147,104
"RAB4B-EGLN2",0,0,0,0,0,0
"RAB5A",859,906,756,1114,485,670
"RAB5B",3176,3629,3414,4771,2298,2842
"RAB5C",759,612,596,804,334,387
"RAB5CP1",0,0,0,0,0,0
"RAB5CP2",0,0,0,0,0,0
"RAB6A",1790,2176,1951,2518,1788,2310
"RAB6B",284,392,592,188,363,289
"RAB6C",9,12,19,0,38,49
"RAB6C-AS1",42,54,108,14,55,72
"RAB7A",3610,4401,3901,4362,2100,2449
"RAB7B",2,0,0,4,1,0
"RAB8A",652,718,646,835,423,580
"RAB8B",217,269,226,373,183,255
"RAB9A",368,346,295,301,162,190
"RAB9AP1",0,0,0,0,0,0
"RAB9AP2",0,0,0,0,0,0
"RAB9AP3",0,0,0,0,0,0
"RAB9AP4",0,0,0,0,0,0
"RAB9AP5",0,0,0,0,0,0
"RAB9B",32,34,23,40,34,59
"RAB9BP1",0,0,0,0,0,0
"RABAC1",1176,1040,1160,923,404,371
"RABEP1",893,1021,1001,1299,747,1045
"RABEP2",313,359,311,415,322,182
"RABEPK",456,433,367,444,193,266
"RABEPKP1",0,0,0,0,0,0
"RABGAP1",1780,1750,1646,1183,663,734
"RABGAP1L",218,259,260,372,214,327
"RABGAP1L-IT1",2,1,0,2,0,0
"RABGEF1",30,25,12,35,19,23
"RABGGTA",480,592,538,772,419,400
"RABGGTB",586,775,613,994,506,642
"RABIF",186,270,188,306,135,197
"RABL2A",116,92,116,134,81,85
"RABL2B",183,181,216,226,128,166
"RABL3",193,250,167,344,176,284
"RABL6",1125,1181,1212,1083,659,590
"RAC1",1839,1696,1494,2744,847,1384
"RAC1P1",0,0,0,0,0,0
"RAC1P2",0,0,0,0,1,0
"RAC1P3",0,0,0,0,0,0
"RAC1P4",0,0,0,0,0,0
"RAC1P5",0,1,0,0,0,0
"RAC1P6",0,0,0,0,0,0
"RAC1P7",0,0,0,0,0,0
"RAC1P8",0,0,0,0,0,0
"RAC1P9",0,0,0,0,0,0
"RAC2",10,4,6,136,9,27
"RAC3",364,180,414,130,84,77
"RACGAP1",95,92,81,109,52,39
"RAD1",407,515,407,448,319,355
"RAD17",307,382,367,518,279,345
"RAD17P1",0,0,0,0,0,0
"RAD17P2",0,0,0,0,0,0
"RAD18",181,195,190,148,142,119
"RAD1P1",0,0,0,0,0,0
"RAD1P2",0,0,0,0,0,0
"RAD21",1278,1497,1306,2509,1012,1768
"RAD21-AS1",0,1,2,7,3,0
"RAD21L1",0,0,0,0,0,0
"RAD23A",1218,1418,1140,1527,779,800
"RAD23B",1424,1578,1461,2018,1092,1397
"RAD23BLP",0,0,0,0,0,0
"RAD23BP1",0,0,0,0,0,0
"RAD23BP2",0,0,0,0,0,0
"RAD50",372,813,750,1101,752,948
"RAD51",10,13,6,13,2,9
"RAD51-AS1",59,62,54,59,56,34
"RAD51AP1",19,9,18,22,12,15
"RAD51AP1P1",0,0,0,0,0,0
"RAD51AP2",0,0,0,0,0,0
"RAD51B",41,33,64,76,45,34
"RAD51C",169,187,171,230,88,164
"RAD51D",168,222,212,174,134,151
"RAD51L3-RFFL",0,0,0,0,0,0
"RAD52",110,180,197,157,130,158
"RAD54B",50,59,51,68,40,56
"RAD54L",18,8,11,8,5,2
