	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
13994	DIRAS3	630.372914525	1140.0657785735	120.6800504766	0.1058535856	-3.2398579561	4.7205055369562E-022	8.1345417473607E-019
18813	HPCAL4	464.7399123631	100.8400237739	828.6398009522	8.2173701467	3.0386767536	6.37314661062523E-022	1.03722961087926E-018
21785	LINC00607	167.3290784146	5.1663882375	329.4917685916	63.7760372326	5.9949425524	1.21553387040649E-021	1.87416130176621E-018
28845	PALLD	3099.0574280081	805.4538410507	5392.6610149656	6.6951831876	2.7431235298	2.99391353020148E-021	4.38533484336261E-018
8704	CA14	332.490342291	70.8989721405	594.0817124415	8.3792711587	3.0668247617	6.53612868907667E-021	8.87656118657532E-018
5777	AL589743.1	107.973691998	12.1218869575	203.8254970385	16.814667366	4.0716483341	6.66613231284032E-021	8.87656118657532E-018
8467	C2CD4A	68.8178068681	133.6361555907	3.9994581454	0.0299279647	-5.062362021	9.60307475177154E-021	1.22313945588325E-017
19722	IL18BP	286.2639566744	534.0626817038	38.465231645	0.0720238147	-3.795382176	1.14674985801499E-020	1.39975154543955E-017
10354	CLU	18909.2622481631	31918.9758468747	5899.5486494515	0.1848288829	-2.4357378729	1.6736278133318E-014	9.80578535831101E-012
4760	AEBP1	3615.0664618812	6837.655978766	392.4769449964	0.0573993407	-4.1228220243	1.99530420247604E-014	1.14612620806933E-011
51059	S100A3	29.4489764995	58.4758205896	0.4221324094	0.0072189224	-7.1140007947	2.44327828928657E-014	1.37645841316635E-011
23576	MGP	159162.185931453	270632.026983825	47692.3448790823	0.1762257979	-2.5045029578	3.27777802600445E-014	1.81174542022265E-011
6834	AQP1	12057.1083507055	19927.0732479087	4187.1434535023	0.2101233534	-2.2506915811	8.42539291667132E-014	4.57077565729419E-011
13332	CXCL5	47.2066687256	90.3855511937	4.0277862576	0.0445622802	-4.4880331344	2.15945789559285E-013	1.15020580093441E-010
27033	NINJ2	88.1798336006	160.3693217254	15.9903454758	0.0997095037	-3.3261251699	2.41876040184032E-013	1.23213237677749E-010
29758	PLEK2	34.9587300958	2.1619731187	67.755487073	31.3396528791	4.9699172954	2.42508693559717E-013	1.23213237677749E-010
53788	STEAP4	1451.2205387682	2861.0247768267	41.4163007098	0.0144760371	-6.1101894831	2.43944966216399E-013	1.23213237677749E-010
7651	BCL2	114.8043107659	12.1794242585	217.4291972733	17.8521736873	4.1580278429	2.48812642450091E-013	1.23541802721617E-010
30214	PPP1R1B	551.9917585248	1041.7067036339	62.2768134157	0.0597834431	-4.0641102021	2.94469754331097E-013	1.43774857552158E-010
9212	CCL2	2729.105363523	4707.3200003275	750.8907267186	0.1595155474	-2.6482310497	3.05552989869724E-013	1.46740571118583E-010
14081	DMBT1	126.8663929494	246.0795092834	7.6532766153	0.0311008285	-5.0069031768	4.0916475784914E-013	1.93330348083719E-010
55064	TMEM255B	149.6517480131	259.6366874137	39.6668086125	0.152778134	-2.7104900193	4.36943292903135E-013	2.03178631199958E-010
51649	SFMBT2	127.9479821515	229.9806558079	25.9153084951	0.1126847317	-3.1496360452	4.95249656165362E-013	2.26692791833817E-010
14698	EEF1A2	63.5287067587	115.6232429662	11.4341705511	0.0988916264	-3.3380078225	5.06259952436264E-013	2.28167466255698E-010
10032	CHI3L2	1269.064164386	2515.4301412425	22.6981875294	0.009023581	-6.7920842117	5.30048230485765E-013	2.35269135031523E-010
10424	CNN1	67.1323945834	5.7147044393	128.5500847275	22.4946164922	4.4915078657	6.33069639533559E-013	2.76802613285606E-010
10910	CSMD2	645.3722283313	1203.4653809812	87.2790756814	0.0725231295	-3.7854150084	6.65221593111397E-013	2.86583331914682E-010
55801	TRIB2	2678.1895583216	1030.0228875037	4326.3562291396	4.2002525202	2.0704760657	6.87577334303612E-013	2.91921420411947E-010
14463	DUSP8	46.9063061973	6.2725320097	87.5400803848	13.9560994268	3.8028238757	7.32164162730509E-013	3.06410702102718E-010
15384	F5	3792.1063484076	350.8219762749	7233.3907205402	20.6184082233	4.3658610533	7.65459918768133E-013	3.15833074933978E-010
29931	PODNL1	234.7040791119	433.0446661081	36.3634921158	0.0839716892	-3.57395318	8.04039806894328E-013	3.2714369643013E-010
16952	GDF15	210.7753373499	358.3962036364	63.1544710634	0.1762141184	-2.5045985762	9.19850012620633E-013	3.6913707013317E-010
33414	RNF157	326.6433533711	534.5103843425	118.7763223998	0.2222151821	-2.1699707074	1.06904715985849E-012	4.23212656054789E-010
51907	SLC10A4	21.7577598769	0.2971702599	43.2183494938	145.4329565383	7.184210425	1.65317027047342E-012	6.45728307646917E-010
14529	DUXAP8	53.7920595509	8.1114672399	99.4726518619	12.2632131672	3.6162651337	1.82626720795949E-012	7.03953919173334E-010
8893	CARHSP1	2057.1239747089	3309.3654062927	804.882543125	0.2432135604	-2.0397044262	2.07082265099038E-012	7.87853890399522E-010
29717	PLAUR	404.9020494899	732.0659663685	77.7381326112	0.1061900651	-3.235279298	2.12473811602264E-012	7.9800260396004E-010
17491	GPR65	115.9105458076	16.7054476581	215.1156439571	12.8769757243	3.686721898	2.52623120715256E-012	9.3678409131056E-010
31115	RAB3IL1	731.8676252897	1197.6541727293	266.0810778502	0.2221685391	-2.1702735615	2.93801961769258E-012	1.0758660587538E-009
57873	ZC3H12A	191.2236998792	322.8294735663	59.617926192	0.1846731202	-2.4369542021	3.04422100013487E-012	1.10099326171544E-009
54822	TM4SF1	10875.6150015507	17427.6786599862	4323.5513431152	0.2480853261	-2.0110916907	4.2072009403352E-012	1.50304818959902E-009
18722	HOMER3	395.500115061	651.9273353671	139.072894755	0.2133257607	-2.2288699022	5.12224352709436E-012	1.80790510995457E-009
21123	L3MBTL3	279.6887293831	101.8347387777	457.5427199885	4.4929925238	2.1676766613	6.43128980911933E-012	2.24291232093037E-009
51428	SELM	3018.8102387857	4833.0891788347	1204.5312987367	0.2492259617	-2.0044737339	7.76482676520355E-012	2.67612470690162E-009
14245	DOC2B	62.5686061311	118.5669287511	6.5702835111	0.0554141326	-4.1736022275	8.08070210890843E-012	2.73524666655112E-009
53481	SPSB1	295.0177911912	482.6147221087	107.4208602737	0.2225809851	-2.1675977451	8.12310837992651E-012	2.73524666655112E-009
8783	CADM3	2211.3816324924	9.823261716	4412.9400032688	449.2336792867	8.8113222812	8.7336711153008E-012	2.9074192650311E-009
16003	FBXO32	693.6754277239	1110.8852684372	276.4655870107	0.2488696132	-2.0065380061	8.95625073433817E-012	2.94801534002738E-009
22696	LRG1	30.5427836119	59.4369348225	1.6486324013	0.0277375071	-5.1720180584	9.29783828399471E-012	0.000000003
4565	ADAM15	1260.4375539468	2014.3090187663	506.5660891272	0.2514838013	-1.9914626192	9.34022747903566E-012	0.000000003
22663	LPAR1	48.2418652983	90.0156213251	6.4681092716	0.0718554088	-3.7987594318	1.19371136448275E-011	3.79843408617627E-009
9546	CDK6	581.6913832749	226.9709918143	936.4117747355	4.1256892224	2.0446351508	1.20585209084961E-011	3.79843408617627E-009
55400	TPCN1	1732.6987605776	2750.1511728865	715.2463482687	0.2600752843	-1.9429987923	1.26556213574499E-011	3.94411093262229E-009
30418	PRICKLE1	556.28524222	213.1348120637	899.4356723762	4.2200317427	2.0772538508	1.34474741821907E-011	4.14677638070817E-009
17552	GRB10	368.6944476816	641.2246071956	96.1642881677	0.1499697408	-2.737256655	1.42129264248717E-011	4.33716332933975E-009
27719	OLFML1	2702.2529445735	850.5153214467	4553.9905677002	5.3543898068	2.420722173	1.77551636125857E-011	5.36224245392473E-009
6134	ANGPTL2	182.1923267934	337.9040333608	26.480620226	0.0783672807	-3.6736047529	1.80802047555495E-011	5.40468977871248E-009
27494	NTRK3	83.9624006622	3.2783842277	164.6464170968	50.2218183297	5.6502423586	1.97128402638698E-011	5.83320864171784E-009
51185	SBNO2	1306.5395572295	2270.2829173406	342.7961971183	0.1509927219	-2.7274490842	2.13410122669954E-011	6.22810231152723E-009
23551	MGARP	9820.0509347023	3460.223125571	16179.8787438335	4.6759639933	2.2252638206	2.14725493587387E-011	6.22810231152723E-009
20097	JAK3	325.6064004595	541.4857099707	109.7270909483	0.202640788	-2.3030035027	3.1283902217702E-011	8.92793931932788E-009
51119	SAMD4A	574.6738187122	236.6472223767	912.7004150477	3.8567974975	1.9474033987	3.13902628397601E-011	8.92793931932788E-009
18108	HEPHL1	127.6742607392	234.7205644955	20.6279569829	0.087883041	-3.5082713986	3.18587769108628E-011	0.000000009
23595	MICAL2	6619.7435623322	2786.0322014866	10453.4549231778	3.7520940776	1.9076960015	3.34860720470812E-011	9.34261410113564E-009
20018	ITGA3	10496.751505119	16582.2125797294	4411.2904305086	0.266025442	-1.910363867	4.39390279721877E-011	1.21433379664645E-008
52134	SLC2A1	44579.1547023018	70015.4793475151	19142.8300570886	0.273408541	-1.8708697828	4.9485272267275E-011	1.35483275800918E-008
29774	PLEKHG1	1066.2550104043	1680.268830108	452.2411907007	0.2691481164	-1.8935277659	5.04447443134816E-011	1.36831368950319E-008
15375	F12	71.9747320837	130.4590721024	13.490392065	0.1034070828	-3.27359309	6.26068095595231E-011	1.68262980371214E-008
52127	SLC28A3	23.4333678563	45.9486247664	0.9181109462	0.0199812497	-5.6452093703	6.79339361103017E-011	1.80920423486481E-008
50706	RPS2P5	443.8639009146	706.4322866253	181.2955152039	0.2566353756	-1.9622080442	6.92396878171947E-011	1.82736635549975E-008
5063	AKR1C2	2933.0492407202	4948.6979388706	917.4005425698	0.1853822064	-2.4314253192	7.28966604985721E-011	1.90670327616578E-008
22884	LTF	91.3672800486	182.7345600971	0	0	-Inf	8.22757468036136E-011	2.13298053328483E-008
6723	AP1M2	57.2939460139	10.590389324	103.9975027039	9.8199886258	3.2957213535	1.01127250367567E-010	0.000000026
22566	LL22NC03-N14H11.1	31.7786613284	3.7459619774	59.8113606794	15.966889424	3.9970113776	1.33966680107375E-010	3.41265555977874E-008
25880	MT-ND3	42149.6597242326	10044.6410427686	74254.6784056966	7.3924670966	2.886055917	1.57218105652655E-010	3.97043483197804E-008
8365	C1R	6014.4125433727	11820.4030691114	208.422017634	0.0176323951	-5.8256277297	1.59868011853508E-010	0.00000004
5062	AKR1C1	5939.8622016501	9890.89063777	1988.8337655303	0.2010773183	-2.314177741	1.6780632983736E-010	4.16600545134362E-008
25638	MRGPRX4	64.2925330746	128.3292513096	0.2558148396	0.0019934258	-8.9705343837	1.75813232196464E-010	4.32810809848355E-008
51246	SCG2	413.7859983752	724.6887501182	102.8832466323	0.1419688751	-2.8163534236	1.79959240078425E-010	4.39325494841455E-008
23132	MAP3K8	242.5664465824	405.9047343989	79.2281587659	0.1951890482	-2.3570559875	1.82099592516165E-010	4.40876658079426E-008
26611	NAPEPLD	192.6512273791	57.1772021287	328.1252526295	5.7387427229	2.5207346975	1.85279952630521E-010	4.44899689533697E-008
51946	SLC16A2	1109.6865962811	1754.8165562359	464.5566363263	0.2647323076	-1.9173938247	1.95475080465965E-010	4.65564429451256E-008
30406	PRELP	1082.7782363747	143.0971794023	2022.459293347	14.1334672129	3.821043525	2.33611226328594E-010	5.51906522201303E-008
10569	COLEC12	2055.6122475934	3158.8336866107	952.3908085761	0.3015007763	-1.7297663783	2.3745037094978E-010	5.56488689357904E-008
25885	MT-RNR1	34380.540561245	14339.478254785	54421.602867705	3.7952289407	1.9241869164	2.43758804250676E-010	5.66739219882821E-008
22720	LRP8	300.0751905559	481.1161315302	119.0342495816	0.2474127176	-2.0150084347	2.58890084198745E-010	5.97179922567105E-008
31306	RARRES3	178.0763800741	317.3657040064	38.7870561418	0.1222156511	-3.0324990448	2.61179756370017E-010	5.9775476272341E-008
52313	SLC6A6	10541.1010921621	19151.0902612843	1931.1119230398	0.1008356128	-3.3099228391	3.31169145254239E-010	7.52062024048289E-008
51965	SLC18A2	56.2026293094	0.5745618144	111.8306968044	194.6364934275	7.6046384238	4.58960619549709E-010	1.03353985787707E-007
54667	THBD	5480.3664049339	2524.007735438	8436.7250744299	3.3425908154	1.7409667577	4.62173481419683E-010	1.03353985787707E-007
14628	ECM2	502.2574148635	118.4440781047	886.0707516223	7.4809206657	2.9032158314	4.70916935840192E-010	1.03833612901689E-007
53404	SPHK1	148.7617530811	283.8429813486	13.6805248136	0.0481975096	-4.374897587	4.71407083663583E-010	1.03833612901689E-007
19232	IGF1	768.7534723644	36.6427655478	1500.8641791811	40.9593587368	5.3561212234	4.76702521285843E-010	1.04216420604991E-007
31281	RAPGEF3	966.5137132891	345.710855225	1587.3165713532	4.5914571306	2.1989520755	4.92377786210161E-010	1.06087487684678E-007
45261	RP11-632K5.2	26.4989778058	2.4131190605	50.584836551	20.9624288243	4.3897339802	4.92503783072749E-010	1.06087487684678E-007
28191	OR51E2	1056.118765482	482.079298058	1630.158232906	3.3815146999	1.7576696254	5.19534934978834E-010	1.11093254892007E-007
29801	PLIN2	230.4889175236	373.991497269	86.9863377781	0.2325890787	-2.1041447389	5.27485763248708E-010	0.000000112
20174	KAZALD1	694.5797499051	1082.7317400187	306.4277597916	0.2830135559	-1.8210569375	5.71007199917434E-010	1.203428483567E-007
20345	KCNJ4	244.4152794021	389.2124303787	99.6181284255	0.2559479622	-1.9660775748	5.77798118595985E-010	1.20624551789666E-007
4412	ACKR1	109.3436009846	0	218.6872019692	Inf	Inf	5.80578999909299E-010	1.20624551789666E-007
18565	HNMT	108.1513533681	35.4304142681	180.8722924682	5.1050007798	2.3519111815	5.87763369323437E-010	1.21257238762888E-007
14362	DRC1	38.9382984021	77.1617264915	0.7148703127	0.0092645712	-6.7540600729	1.93161760139509E-008	2.69460655394615E-006
15076	ENPP6	374.5166202705	176.6008999118	572.4323406292	3.241389715	1.6966124875	2.02844579081425E-008	2.81627106359733E-006
22870	LSR	526.1216573854	832.9842137501	219.2591010207	0.263221196	-1.9256524273	2.14145162074328E-008	2.95914269951294E-006
10500	COBL	104.3456738376	185.3698994451	23.3214482301	0.12581033	-2.9906777109	2.29202193477248E-008	3.15233721028919E-006
15066	ENOX1	53.6394597194	14.9402031898	92.338716249	6.1805529065	2.6277359061	2.30826647188599E-008	3.15984421934112E-006
30571	PRR16	96.5771114244	34.5687743455	158.5854485034	4.5875346033	2.1977190401	2.45828663417958E-008	3.3495584627112E-006
29188	PDE7B	397.7605040858	189.6137650689	605.9072431027	3.1954813137	1.6760332509	2.47302107454845E-008	0.000003354
31239	RALYL	108.5714629619	38.7367588435	178.4061670802	4.6056038865	2.2033903348	2.51322537727908E-008	3.37953011396942E-006
4622	ADAMTSL4	276.4272244259	436.1558047873	116.6986440646	0.2675618272	-1.9020557923	2.51489184108324E-008	3.37953011396942E-006
16896	GBP3	604.7399330983	954.6779103249	254.8019558718	0.2668983467	-1.9056377263	2.7666653395064E-008	3.70088863565479E-006
9807	CFAP99	19.8720772608	38.4408342298	1.3033202919	0.0339045788	-4.8823760694	2.84709452183334E-008	3.79116518259581E-006
27487	NTN4	5159.2080334331	2592.7137051919	7725.7023616742	2.9797745683	1.5752031893	2.88638701373865E-008	3.82609536504405E-006
14603	EBF4	224.3250105259	359.4673599598	89.1826610919	0.248096687	-2.0110256248	2.94395366808286E-008	3.88482534713907E-006
22968	LZTS1	467.0425198203	210.6534621785	723.4315774621	3.4342259082	1.779984945	3.1840757718608E-008	4.18284752182342E-006
56032	TSPAN13	406.5763053025	197.6267802567	615.5258303483	3.1145871503	1.6390409415	3.26361582988335E-008	4.26819757751932E-006
29261	PDZRN4	666.8424215649	1030.2567901734	303.4280529563	0.2945169164	-1.7635775932	3.82825733875139E-008	4.98439105505431E-006
8376	C1orf115	206.4765666517	353.1655878028	59.7875455006	0.1692904053	-2.5624278854	3.8562826738607E-008	4.99866375799775E-006
26857	NEB	2518.8841407316	259.1988894161	4778.569392047	18.4359176955	4.204447327	3.88006856300024E-008	4.9986750147641E-006
6947	ARHGEF10L	868.8106569377	1317.3196185036	420.3016953719	0.3190582524	-1.6481082451	3.89041783023115E-008	4.9986750147641E-006
23189	MARCH4	178.6853309847	61.1151491168	296.2555128526	4.8474971776	2.2772400583	4.04996665172471E-008	0.000005181
16403	FOXJ1	685.0742030575	1353.3297745289	16.818631586	0.012427593	-6.3303092943	4.13916715800453E-008	0.000005272
7386	ATP6V0A4	130.1833455519	50.7495966309	209.6170944729	4.1304189272	2.0462881142	4.23094651947843E-008	5.3656094497022E-006
29117	PCP4	213.1142620109	16.2511817067	409.977342315	25.2275403545	4.6569276476	4.35418082716907E-008	5.49809169534128E-006
20668	KLHDC8A	535.8427402491	839.2403119594	232.4451685389	0.2769709286	-1.8521935386	4.59496398555735E-008	5.77723047025332E-006
56967	VAMP5	372.5993050649	576.6961166282	168.5024935015	0.2921859341	-1.775041367	4.67594327623722E-008	5.85392129390468E-006
54048	SYNE3	499.2014895306	765.2819291033	233.121049958	0.3046211352	-1.7149120528	5.01901991141635E-008	6.25668886404009E-006
19959	IRF6	60.8957456275	16.3476956357	105.4437956193	6.4500708827	2.689315015	5.20740468482012E-008	0.000006464
55231	TNFAIP3	164.2737832139	264.8878449456	63.6597214822	0.2403270769	-2.0569288933	5.62628582618196E-008	6.95451659400846E-006
25875	MT-CO2	155419.293281875	73132.02654223	237706.560021519	3.2503756734	1.7006064723	5.7310556766476E-008	7.05425529610888E-006
56978	VASN	2983.6735567252	4832.026649562	1135.3204638885	0.2349574094	-2.0895288307	5.97626372432137E-008	7.32529898761483E-006
53702	ST6GALNAC2	189.79123565	296.5976822115	82.9847890884	0.279789068	-1.8375885005	6.02454589537389E-008	7.35371133354076E-006
25505	MMP28	29.1148823761	4.4111515965	53.8186131557	12.2005811811	3.6088779679	6.08103708769585E-008	7.39186645162033E-006
26355	MVP	1895.9445705385	2875.4169774662	916.4721636109	0.3187266997	-1.6496082161	6.17712616286386E-008	7.47764094797921E-006
22935	LYPD6B	71.747577426	5.982584625	137.5125702269	22.9854784923	4.5226507942	6.73668649347703E-008	8.12144982824731E-006
53194	SOD3	812.7249096937	1559.4260609272	66.0237584603	0.0423384988	-4.5618860722	6.88408446003644E-008	8.265133371179E-006
25884	MT-ND6	803.9918429135	343.5072748783	1264.4764109487	3.6810760744	1.8801275653	7.18332812855578E-008	8.58920806228741E-006
26480	MYOF	2012.0792994296	3033.7569045913	990.401694268	0.3264604665	-1.6150197992	7.22550840743527E-008	8.60452312178114E-006
4710	ADIRF	1203.2028963312	1886.8928242105	519.5129684519	0.2753272267	-1.8607808117	7.35360802197435E-008	8.72161728760075E-006
16341	FNDC4	894.1573530711	1328.8617507533	459.4529553889	0.3457492513	-1.5322019676	7.61034596643084E-008	8.98972117284643E-006
21506	LINC00152	507.9346392371	780.2570417162	235.612236758	0.3019674596	-1.7275350034	7.8350713739073E-008	0.000009218
7663	BCL3	451.1172279967	767.6123199378	134.6221360557	0.1753777689	-2.5114622132	7.96325565747507E-008	9.33134297942929E-006
5985	ALDH7A1	5416.0369299114	2616.2877944485	8215.7860653744	3.1402455352	1.6508773676	8.09056516454339E-008	9.44275324682464E-006
51972	SLC1A2	93.737448785	36.1124292361	151.3624683338	4.1914230512	2.0674401438	0.000000083	9.65236413321486E-006
58691	ZNF92	200.3386008318	89.9282407808	310.7489608829	3.4555214045	1.7889034156	9.20760512159536E-008	1.06615332821002E-005
20363	KCNK5	1666.081705467	2453.7856644202	878.3777465137	0.3579684074	-1.482095827	9.48735091006731E-008	1.09422025555284E-005
53352	SPATS2L	2232.627326681	1186.9028403203	3278.3518130418	2.7621063003	1.4657688431	9.79130298161011E-008	1.12484792488733E-005
2497	AC064875.2	175.4047116622	32.7222176669	318.0872056576	9.7208327655	3.2810799121	0.000000099	1.1331614494326E-005
51915	SLC12A2	1416.9707185909	2329.0658312112	504.8756059706	0.2167717199	-2.2057515404	1.01591538864071E-007	1.15802495370543E-005
57023	VDR	581.2156318262	878.4222462718	284.0090173805	0.3233171958	-1.6289778549	1.04343919679362E-007	1.18478880891741E-005
13321	CXCL1	350.7538138754	691.4621927432	10.0454350076	0.0145278153	-6.1050384259	1.0729183529602E-007	1.21355765057796E-005
15182	ERBB3	616.2064970383	965.4873238415	266.9256702351	0.2764672965	-1.8548192616	1.12454703372719E-007	1.26331840848224E-005
51365	SDPR	16.9252979011	1.2213935594	32.6292022429	26.7147325224	4.7395636673	1.1255371381255E-007	1.26331840848224E-005
31659	RFX2	127.5398049659	203.0597395427	52.0198703892	0.2561801296	-1.9647695164	1.2343915112513E-007	1.38020989779034E-005
22907	LY6E	3125.5361552425	4678.1141701101	1572.9581403749	0.3362376554	-1.5724467931	1.25376434368487E-007	1.39654092959118E-005
25881	MT-ND4	338207.766984313	113391.691540151	563023.842428475	4.965300674	2.3118810829	1.26124109551462E-007	1.39954764746594E-005
7474	AVIL	79.7423954355	29.57392755	129.9108633211	4.3927497659	2.1351243183	1.33300303537577E-007	0.000014736
15381	F2RL2	64.2097935727	109.8897185885	18.5298685568	0.1686224043	-2.5681318597	1.35240272785035E-007	1.48942247790887E-005
29582	PIK3CG	12.2166453191	0.3135265198	24.1197641184	76.9305388779	6.265484509	0.000000138	1.51457036956933E-005
15742	FAM43A	224.6734865117	106.033258996	343.3137140273	3.2377927197	1.6950106287	0.000000141	1.54086692703944E-005
26631	NAT8L	456.5829507953	680.4475609283	232.7183406623	0.342007752	-1.5478990691	0.000000157	1.70998032653859E-005
9781	CFAP126	41.0600757213	82.1201514425	0	0	-Inf	1.57845818964313E-007	1.712058934329E-005
55009	TMEM204	799.3524768782	1189.3711323718	409.3338213846	0.344159876	-1.538849185	1.58377870354381E-007	1.712058934329E-005
55240	TNFRSF10D	1115.0909298398	1681.4903629751	548.6914967044	0.3263126027	-1.6156733874	1.62496273733189E-007	1.75012071287271E-005
16752	GALNT14	501.7665609875	993.844568201	9.6885537741	0.0097485604	-6.6805951014	1.65313334931369E-007	1.77393924791739E-005
20406	KCTD10	2286.5212471738	3352.4602341232	1220.5822602244	0.3640855297	-1.4576506917	1.68593671463396E-007	1.80253708230664E-005
31334	RASGRP3	76.8336355405	23.1457206801	130.5215504009	5.639122333	2.4954706406	1.75477340797314E-007	1.8693122540572E-005
7747	BICC1	570.1797852596	1081.60143942	58.7581310992	0.0543251229	-4.2022366572	1.87323644962596E-007	1.9882776011519E-005
29819	PLPP3	8494.3975745087	12420.6027783307	4568.1923706867	0.3677915196	-1.4430398797	1.94923512502622E-007	2.0614744760882E-005
54131	TACR1	13.565048792	27.130097584	0	0	-Inf	0.000000196	2.06565635362238E-005
22053	LINC01091	30.2009792107	55.724553027	4.6774053944	0.0839379616	-3.5745327607	2.02262965523794E-007	2.12376113799984E-005
15445	FAM102B	29.535302802	5.9955184393	53.0750871647	8.8524600003	3.1460784198	2.10645002276022E-007	2.19778158022954E-005
53761	STARD5	78.9620200587	28.7425088548	129.1815312626	4.4944417314	2.1681419252	2.10812979704558E-007	2.19778158022954E-005
51164	SAT1	3692.1408575534	5534.3454901661	1849.9362249407	0.3342646801	-1.5809371734	2.17062474352542E-007	2.25490964048146E-005
15118	EPB41L2	4826.7113742551	2666.4749741967	6986.9477743135	2.6202937743	1.3897285686	0.000000222	2.29839421768977E-005
6269	ANO9	210.9216058697	326.4043978292	95.4388139101	0.2923943873	-1.7740124769	2.24060974075149E-007	2.31122050546884E-005
27726	OLMALINC	138.3644095041	59.5576086696	217.1712103386	3.6464058109	1.8664751288	2.25814986705997E-007	2.32114036335165E-005
8979	CBLN3	122.7143763405	206.3999940811	39.0287585998	0.1890928281	-2.402833449	2.43160073972312E-007	2.48756564040353E-005
54043	SYNDIG1	29.1540596007	53.325298934	4.9828202675	0.0934419566	-3.4197857067	2.4370416070859E-007	2.48756564040353E-005
36194	RP11-1069G10.1	70.7955812774	128.3368521689	13.254310386	0.1032775089	-3.2754019878	2.51722641205644E-007	2.56049124101366E-005
10895	CSF1	811.0483878454	1406.5204123529	215.5763633379	0.1532692746	-2.7058595812	2.60702174236399E-007	2.64265404645512E-005
5978	ALDH3A1	1027.3553573778	1874.6788511032	180.0318636523	0.0960334425	-3.3803192951	2.71721021034928E-007	2.74485079697179E-005
13661	DCLK1	382.5352992726	4.653829017	760.4167695283	163.3959405804	7.3522283313	2.7347233566499E-007	2.75304882244189E-005
19033	HTR1D	196.7769230047	90.1365614622	303.4172845471	3.3661954664	1.7511189527	2.76423908426496E-007	2.77323232786103E-005
19157	IFITM10	165.0067756352	297.6796301882	32.3339210822	0.1086198645	-3.2026401268	2.9741077210774E-007	0.000029575
19590	IGLON5	29.739405709	53.9444642351	5.534347183	0.102593422	-3.2849898627	2.97536295370809E-007	0.000029575
7537	B4GALT5	1448.5612891497	2196.4295019152	700.6930763842	0.3190145988	-1.6483056485	2.97819093408272E-007	0.000029575
8016	BTBD3	530.9629760267	268.5595559671	793.3663960864	2.9541544081	1.562745235	3.04687562685066E-007	3.00936846903645E-005
8346	C1QL1	527.8925279792	927.2206521513	128.564403807	0.1386556733	-2.8504214475	3.05097264141944E-007	3.00936846903645E-005
58078	ZNF117	191.5807070185	93.1389114756	290.0225025614	3.1138704325	1.6387089154	3.19413835836832E-007	3.14000950363758E-005
17082	GJB2	24.3236889767	45.6585021966	2.9888757569	0.0654615376	-3.9332087008	3.28256137933831E-007	3.21614165912093E-005
22528	LL21NC02-1C16.2	17.5363590429	33.8831411577	1.1895769282	0.0351082245	-4.83204715	3.30579181468653E-007	3.22810570704139E-005
14249	DOCK11	131.4470768498	56.0044993649	206.8896543346	3.6941613028	1.8852468619	3.33587598344962E-007	3.24666069552015E-005
7529	B4GALNT3	58.7695396247	101.4182314218	16.1208478275	0.1589541407	-2.6533174962	3.40374425040357E-007	3.28651983798588E-005
